Unnamed: 0,B365H,B365D,B365A,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA
1348,1.83,3.3,4.33,1.9,3.2,3.6,1.8,3.25,3.75,1.83,3.3,3.6
1349,2.1,3.25,3.4,2.3,3.2,2.7,2.0,3.2,3.2,2.15,3.3,2.8
1350,1.8,3.3,4.5,1.7,3.5,4.2,1.53,3.5,5.5,1.7,3.5,4.0
1347,1.66,3.4,5.5,1.7,3.4,4.3,1.73,3.2,4.33,1.61,3.3,5.0
1351,1.36,4.33,9.0,1.4,4.0,6.5,1.36,4.0,7.0,1.33,4.0,8.0
1352,2.0,3.2,3.75,2.0,3.2,3.3,2.0,3.4,3.0,2.0,3.2,3.2
1353,2.1,3.25,3.4,2.1,3.0,3.3,2.1,3.2,3.0,2.15,3.1,3.0
1354,4.75,3.5,1.72,3.8,3.2,1.85,3.75,3.25,1.8,3.75,3.3,1.8
1355,2.5,3.2,2.75,2.1,3.2,3.1,2.38,3.2,2.6,2.37,3.3,2.5
1356,2.75,3.2,2.5,2.6,3.2,2.4,2.38,3.2,2.6,2.5,3.3,2.37
1357,2.1,3.1,3.6,2.1,3.0,3.4,2.1,3.2,3.0,2.1,2.87,3.3
1358,1.36,4.33,9.0,1.4,4.0,6.5,1.29,4.5,8.0,1.36,3.75,8.0
1359,1.9,3.25,4.0,1.9,3.2,3.6,1.91,3.25,3.4,1.9,3.2,3.5
1360,2.5,3.2,2.75,2.25,3.1,2.9,2.38,3.2,2.6,2.25,3.3,2.62
1361,2.4,3.25,2.8,2.4,3.3,2.5,2.2,3.25,2.75,2.3,3.4,2.5
1362,1.61,3.6,5.5,1.6,3.6,4.8,1.67,3.25,4.5,1.57,3.3,5.5
1365,2.3,3.25,3.0,2.3,3.1,2.8,2.25,3.2,2.75,2.15,3.4,2.75
1363,1.25,5.5,10.0,1.25,4.8,9.5,1.2,5.0,11.0,1.25,5.0,8.0
1364,10.0,5.0,1.28,9.5,4.8,1.25,8.0,4.0,1.33,8.0,4.5,1.28
1366,3.0,3.4,2.2,2.7,3.2,2.3,3.0,3.4,2.0,3.1,3.3,2.0
1367,1.57,3.8,5.5,1.6,3.5,5.0,1.5,3.6,5.5,1.53,3.75,4.8
1368,5.5,3.6,1.61,4.8,3.6,1.6,5.0,3.5,1.57,5.0,3.5,1.57
1369,3.2,3.25,2.2,3.0,3.1,2.2,3.2,3.5,1.91,3.1,3.3,2.0
1376,1.2,6.0,13.0,1.2,5.2,11.0,1.2,5.0,11.0,1.2,5.0,11.0
1379,4.5,3.6,1.72,4.2,3.3,1.75,3.75,3.25,1.8,3.6,3.4,1.8
1378,5.0,3.8,1.61,5.0,3.7,1.55,4.5,3.5,1.62,4.8,3.6,1.57
1377,3.0,3.25,2.3,2.6,3.0,2.6,2.8,3.2,2.2,2.6,3.1,2.4
1375,1.66,3.4,5.5,1.75,3.3,4.2,1.57,3.25,5.5,1.66,3.3,4.5
1373,1.61,3.6,5.5,1.55,3.7,5.0,1.62,3.25,5.0,1.53,3.5,5.5
1372,1.66,3.4,5.5,1.75,3.2,4.4,1.67,3.25,4.5,1.7,3.3,4.33
1371,1.53,3.8,6.0,1.6,3.5,5.0,1.57,3.5,5.0,1.44,3.75,6.0
1370,1.2,6.0,13.0,1.22,5.0,10.0,1.25,5.0,8.0,1.25,5.0,8.0
1374,1.66,3.4,5.5,1.55,3.7,5.0,1.57,3.5,5.0,1.57,3.3,5.5
1384,2.3,3.1,3.1,2.5,3.1,2.6,2.25,3.2,2.75,2.2,3.1,2.87
1380,1.28,4.5,13.0,1.3,4.4,8.5,1.29,4.0,10.0,1.28,4.5,8.0
1381,2.62,3.2,2.6,2.5,3.1,2.6,2.5,3.2,2.5,2.6,3.1,2.4
1382,1.66,3.4,5.5,1.7,3.4,4.3,1.62,3.25,5.0,1.57,3.3,5.5
1383,1.72,3.5,4.75,1.7,3.4,4.3,1.67,3.2,5.0,1.72,3.2,4.33
1385,2.5,3.1,2.8,2.5,3.1,2.6,2.25,3.2,2.75,2.25,3.1,2.8
1386,6.0,3.8,1.53,4.8,3.6,1.6,5.5,3.5,1.53,5.5,3.5,1.53
1387,2.0,3.2,3.75,2.0,3.2,3.3,1.91,3.2,3.5,1.9,3.1,3.6
1388,1.22,5.5,13.0,1.25,4.8,9.5,1.2,5.0,11.0,1.2,5.0,11.0
1389,1.22,5.5,13.0,1.3,4.4,8.5,1.3,4.0,10.0,1.22,5.0,9.5
1390,1.5,3.75,7.0,1.55,3.4,5.8,1.4,3.75,7.0,1.44,3.75,6.0
1391,2.87,3.2,2.4,2.5,3.2,2.5,2.6,3.2,2.37,2.5,3.1,2.5
1397,8.5,3.75,1.44,6.3,3.5,1.5,6.0,3.75,1.44,6.0,3.75,1.44
1395,2.4,3.2,2.87,2.4,3.1,2.7,2.25,3.2,2.75,2.3,3.1,2.75
1396,2.2,3.1,3.1,2.2,3.1,3.0,2.25,3.2,2.75,2.0,3.1,3.3
1393,2.3,3.1,3.1,2.2,3.1,3.0,2.1,3.2,3.0,2.1,3.2,3.0
1392,1.9,3.25,4.0,1.9,3.2,3.6,1.72,3.2,4.33,1.83,3.2,3.75
1394,7.5,3.6,1.5,4.8,3.6,1.6,5.0,3.5,1.57,5.5,3.3,1.57
1404,1.9,3.25,4.0,2.0,3.2,3.3,1.83,3.2,3.75,2.0,3.1,3.3
1403,7.5,4.33,1.4,6.5,3.7,1.45,7.0,3.75,1.4,7.5,3.6,1.4
1402,1.72,3.4,5.0,1.7,3.3,4.5,1.66,3.3,4.5,1.66,3.3,4.5
1398,2.5,3.1,2.8,2.4,3.1,2.7,2.37,3.2,2.6,2.37,3.1,2.62
1400,1.44,4.0,7.5,1.45,3.7,6.5,1.44,3.75,6.0,1.4,3.6,7.5
1401,5.5,3.6,1.61,4.2,3.3,1.75,4.5,3.3,1.66,4.5,3.1,1.72
1399,1.9,3.25,4.0,2.0,3.2,3.3,1.8,3.3,3.75,1.9,3.1,3.6
1405,2.37,3.1,3.0,2.3,3.1,2.8,2.2,3.2,2.8,2.2,3.1,2.87
1406,6.5,3.6,1.53,6.3,3.5,1.5,5.0,3.5,1.57,5.5,3.5,1.53
1407,2.0,3.2,3.75,2.2,3.1,3.0,2.1,3.2,3.0,2.1,3.2,3.0
1414,1.83,3.25,4.5,1.8,3.2,4.0,1.8,3.2,4.0,1.66,3.3,4.5
1415,2.62,3.2,2.62,2.5,3.1,2.6,2.6,3.2,2.37,2.62,3.1,2.37
1412,1.5,3.75,7.0,1.5,3.8,5.5,1.44,3.6,6.5,1.5,3.4,6.0
1413,1.72,3.4,5.0,1.75,3.3,4.2,1.61,3.25,5.0,1.61,3.3,5.0
1410,1.2,5.5,17.0,1.2,5.2,11.0,1.2,5.0,11.0,1.16,5.5,12.0
1409,1.66,3.4,5.5,1.7,3.4,4.3,1.61,3.25,5.0,1.57,3.3,5.5
1408,1.33,4.33,10.0,1.35,4.2,7.5,1.36,3.75,8.0,1.3,4.33,8.0
1411,3.75,3.2,2.0,3.4,3.1,2.0,3.2,3.0,2.1,3.3,3.1,2.0
1416,2.1,3.2,3.5,2.1,3.1,3.2,2.0,3.2,3.2,2.05,3.2,3.1
1417,2.3,3.1,3.1,2.3,3.1,2.8,2.2,3.25,2.75,2.3,3.1,2.75
1421,2.5,3.1,2.8,2.3,3.1,2.8,2.25,3.2,2.75,2.25,3.2,2.75
1418,2.0,3.2,3.75,2.1,3.1,3.2,1.83,3.2,3.75,1.9,3.2,3.5
1419,2.3,3.25,3.0,2.5,3.1,2.6,2.6,3.1,2.4,2.5,3.1,2.5
1420,1.72,3.4,5.0,1.6,3.6,4.8,1.67,3.3,4.5,1.66,3.3,4.5
1422,2.75,3.2,2.5,2.7,3.1,2.4,2.8,3.2,2.2,2.8,3.1,2.25
1424,1.83,3.25,4.5,1.75,3.3,4.2,1.67,3.3,4.5,1.72,3.1,4.5
1427,2.1,3.2,3.5,2.0,3.2,3.3,1.83,3.2,3.75,1.9,3.2,3.5
1426,1.61,3.4,6.0,1.65,3.5,4.5,1.67,3.3,4.5,1.61,3.3,5.0
1423,2.0,3.2,3.75,2.1,3.1,3.2,1.91,3.2,3.5,2.1,3.1,3.1
1425,1.9,3.25,4.0,1.9,3.2,3.6,1.73,3.2,4.33,1.83,3.0,4.0
1428,1.53,3.6,6.5,1.5,3.8,5.5,1.44,3.6,6.5,1.5,3.4,6.0
1436,1.83,3.3,4.33,1.75,3.3,4.2,1.72,3.2,4.33,1.7,3.2,4.5
1434,2.1,3.1,3.5,2.1,3.1,3.2,2.1,3.0,3.2,2.1,3.1,3.1
1433,2.25,3.2,3.1,2.2,3.1,3.0,2.25,3.2,2.75,2.15,3.2,2.87
1435,7.0,3.75,1.5,5.5,3.8,1.5,5.5,3.5,1.53,6.0,3.75,1.44
1431,7.5,4.33,1.4,6.5,4.0,1.4,6.5,3.6,1.44,7.0,4.0,1.36
1430,1.8,3.4,4.33,1.7,3.4,4.3,1.57,3.5,5.0,1.61,3.3,5.0
1429,1.2,5.5,17.0,1.2,5.2,11.0,1.2,5.0,11.0,1.2,5.0,11.0
1432,1.61,3.75,5.25,1.65,3.5,4.5,1.57,3.5,5.0,1.57,3.3,5.5
1437,2.2,3.2,3.25,2.2,3.1,3.0,2.1,3.2,3.0,2.15,3.1,3.0
1438,1.9,3.25,4.0,1.9,3.2,3.6,1.83,3.2,3.75,1.8,3.1,4.0
1442,1.83,3.3,4.33,1.75,3.3,4.2,1.62,3.25,5.0,1.7,3.2,4.5
