B365H_real,B365D_real,B365A_real,B365H_pred,B365D_pred,B365A_pred,prop_odds_H_adj,prop_odds_D_adj,prop_odds_A_adj,overround_real,overround_prop_adj,prop_valid,prop_arbitrage
4.75,3.8,1.8,3.8882468,3.5508509514972615,1.9952956,3.927971933499291,3.5871288589727506,2.0156809458035325,0.029239766081871288,0.02946904965316066,True,False
3.8,3.6,2.05,4.06161,3.739669335679045,2.9099572,3.3821812142419314,3.11409485746351,2.4231775936047457,0.028740550563400413,0.02946904965316044,True,False
2.45,3.4,3.1,3.0647526,3.4673643021584155,2.822759,2.8846082162483513,3.263554594964904,2.6568387775797566,0.02486155752623631,0.02946904965316044,True,False
2.6,3.5,2.8,2.2682614,3.4121813719484813,2.8655005,2.386016422051755,3.5893220773780223,3.014260696871731,0.027472527472527375,0.02946904965316044,True,False
1.85,3.8,4.5,1.655288,4.020413212839968,5.649904,1.6558993821917696,4.0218982082372605,5.651990805255181,0.025920657499604705,0.02946904965316044,True,False
2.25,3.5,3.4,2.3437068,3.4460370556148816,3.2107778,2.34107714341524,3.4421704461576166,3.2071751174211798,0.024276377217553602,0.02946904965316044,True,False
1.33,5.25,12.0,1.2455112,5.230807502295028,10.360499,1.3194451844065287,5.541310234688665,10.975502325444321,0.025689223057643984,0.02946904965316044,True,False
1.73,4.0,5.0,1.6981469,3.7478099721995517,5.2782288,1.7240250651878772,3.8049230544210833,5.3586640961300365,0.028034682080924966,0.02946904965316044,True,False
7.5,5.0,1.44,9.392673,4.86715140517552,1.3247424,9.733169462822515,5.043592247577893,1.3727661076923783,0.02777777777777768,0.029469049653160218,True,False
1.67,3.8,6.0,1.6778466,3.9729671516138123,5.617205,1.6717486580687526,3.958527857050333,5.596790204732984,0.02862695661308967,0.02946904965316044,True,False
7.0,4.33,1.53,6.7223034,4.13976598528372,1.3685615,7.320069568850039,4.507885539370346,1.4902578149007697,0.027398796316063123,0.02946904965316044,True,False
1.4,5.0,9.0,1.6873212,5.106324998580745,7.880571,1.5003355298225782,4.540452193304482,7.0072619485916965,0.02539682539682553,0.02946904965316066,True,False
1.57,4.2,6.5,1.6812648,4.317996741662952,7.4771557,1.5680079975685859,4.027119248733531,6.973464739402659,0.02888406710062741,0.02946904965316044,True,False
1.7,4.0,5.5,1.6652662,4.507008240123536,7.828919,1.5368997600806158,4.1595874577305105,7.225429801146603,0.020053475935828846,0.02946904965316044,True,False
2.88,3.6,2.5,3.3106334,3.667205372415875,2.5312226,3.1187786432125866,3.454686840114281,2.3845355737111484,0.02499999999999991,0.02946904965316044,True,False
1.57,4.0,7.0,1.7421263,3.8083706503951302,5.850481,1.7049774156749542,3.7271615016925774,5.725726453488642,0.029799818016378543,0.02946904965316044,True,False
1.91,3.6,4.5,1.7758709,3.9039559903597842,5.5925994,1.7216929221858615,3.784854593915386,5.421980899519905,0.023560209424083656,0.02946904965316044,True,False
4.33,3.4,2.0,5.1476626,3.7013822262773317,1.6429528,5.365793345712232,3.8582271624115436,1.712572395948499,0.02506452927591374,0.02946904965316044,True,False
1.57,4.2,6.5,1.6756647,3.7799430633840587,4.7680354,1.7433660188403293,3.932662784559001,4.960676720455334,0.02888406710062741,0.02946904965316044,True,False
1.57,4.0,7.0,1.6775651,4.404491204617812,7.714874,1.552568854359687,4.0763103215270435,7.140034672266007,0.029799818016378543,0.02946904965316044,True,False
2.75,3.3,2.8,2.546158,3.3917568931283646,2.5268009,2.6793916588316447,3.569238399184682,2.659021530746866,0.023809523809523947,0.02946904965316044,True,False
2.9,3.6,2.5,3.8330746,3.574925867209687,2.319564,3.618087114640234,3.374417316774197,2.189465645963648,0.022605363984674387,0.02946904965316044,True,False
1.7,3.9,5.5,1.8269167,4.053686021949228,5.0012674,1.7639880715512606,3.914055613811024,4.82899745636196,0.026463732346085456,0.02946904965316044,True,False
3.1,3.5,2.4,3.1696353,3.690566030191278,2.0021164,3.3434617835574705,3.8929608732204004,2.1119147576609025,0.024961597542242808,0.02946904965316044,True,False
1.6,4.33,6.0,1.4841853,4.263934097738724,6.886994,1.518826042389166,4.363453855366004,7.047735399872831,0.022613548883756662,0.02946904965316044,True,False
3.2,3.3,2.45,2.858771,3.420723877073813,2.7034013,2.8103740037502014,3.362813220918543,2.657634580582624,0.02369356833642544,0.02946904965316044,True,False
1.44,4.75,8.0,1.5733674,4.179241677806096,6.8795624,1.5592247754906463,4.141675525270181,6.817723604074022,0.029970760233918092,0.02946904965316044,True,False
6.0,4.2,1.62,6.4644027,4.184748785772332,1.5015987,6.653688208931384,4.307283340010476,1.54556742467736,0.022045855379188684,0.02946904965316044,True,False
2.6,3.4,2.9,2.180911,3.8005113575258034,5.2992387,1.9285655473495418,3.3607675274199877,4.68608234070763,0.02356061788110475,0.02946904965316044,True,False
2.05,3.5,4.0,1.928911,3.5195612742155586,4.1062646,1.960042116622699,3.5763643529232505,4.1725366903568135,0.023519163763066286,0.02946904965316044,True,False
4.75,3.6,1.85,4.2111673,3.5309001683522445,1.9878353,4.187721962377452,3.5112421165628427,1.9767680855246224,0.028844634107791922,0.02946904965316044,True,False
2.15,3.5,3.6,1.8368539,3.538209202576451,4.196489,1.9008439627432567,3.6614688902621477,4.342680802278997,0.02860834256183109,0.02946904965316044,True,False
2.7,3.4,2.75,2.8053062,3.691997341578332,3.1899078,2.563715752918621,3.3740459484666654,2.915195823521017,0.02812438106555737,0.02946904965316044,True,False
5.25,4.0,1.7,5.4179487,3.885415062917841,1.6072828,5.600272395256184,4.016166222943237,1.6613706916089752,0.028711484593837433,0.02946904965316044,True,False
