Unnamed: 0,HomeTeam,AwayTeam,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HomeTeamLP,AwayTeamLP,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,FTR
4877.0,1.0,16.0,32.0,43.0,58.0,47.0,-0.7168382288780406,-0.1374908823260995,L,W,W,L,L,L,W,W,D,W,16.0,9.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2029573594887875,-0.20456590103295444,-0.4160378982029435,-0.3188984839773553,0.8697713714064936,
357.0,1.0,12.0,43.0,34.0,38.0,58.0,0.255286787158136,-0.7927210844810698,D,D,W,D,W,L,W,L,W,W,6.0,14.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21537401875670562,-1.0142647228786865,0.7472866269229276,0.033787923340025686,-0.9947854680725148,NH
918.0,39.0,32.0,15.0,17.0,28.0,17.0,-1.120644004768997,-0.06970844762033811,L,D,L,L,L,W,L,D,L,W,7.0,11.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.2029573594887875,-0.017712326760977462,-0.7537772764653928,-1.0242712986121172,-0.4975703108781125,H
2032.0,16.0,5.0,14.0,15.0,19.0,13.0,-0.8898978471167143,0.7824135886868595,L,W,L,W,D,L,W,W,W,L,13.0,6.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5241105371588595,0.19583461526392557,-1.1949062603179468,-0.36928225645086377,0.8697713714064936,H
1341.0,10.0,41.0,28.0,18.0,23.0,43.0,0.44330217487114176,-1.2316930425756278,D,W,W,D,D,L,D,W,L,L,12.0,18.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3632709299392223,-1.7972701769759771,1.194542402219036,0.7055715563248415,-0.7461778894753136,NH
537.0,5.0,10.0,20.0,18.0,20.0,19.0,-0.043828602393113356,-0.34083818644338365,L,D,W,D,L,W,D,L,D,W,18.0,9.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00831834310028775,-0.11113911389696597,0.21119237571303373,-0.49524168763604576,1.1183789500036945,H
673.0,15.0,16.0,27.0,29.0,35.0,34.0,-0.5822363035810552,-0.2504616068284715,L,D,D,L,L,L,L,L,L,W,16.0,18.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3892285541602134,-0.2668504257907784,-0.2391267953040799,-0.06026178527784853,-0.24896273228091137,NH
5131.0,13.0,27.0,12.0,16.0,28.0,32.0,-1.0129624645314086,-0.7204198207956475,L,W,L,L,W,L,L,D,D,W,18.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.184322348679725,-1.2135752021016304,-0.2133942712454739,0.1748624862669781,0.8697713714064936,
3761.0,33.0,5.0,33.0,36.0,37.0,62.0,-0.08997783392658495,-0.7978854604587549,L,D,W,W,L,L,L,L,L,W,12.0,13.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16205889858299713,-1.12815642529137,0.503440327516084,0.35624406717386586,-0.12465894298231084,H
1116.0,38.0,21.0,26.0,53.0,56.0,37.0,-1.3001132384975929,0.894308401518628,L,W,L,L,L,W,W,W,L,W,18.0,2.0,3.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.2340157108367285,0.6466559373164986,-1.5686405383083837,-0.6715848912947363,1.9885054750938984,NH
